,GALEX_NUV,GALEX_FUV,IRAC_CH1,IRAC_CH2,IRAC_CH3,IRAC_CH4,IB427,IB464,IA484,IB505,IA527,IB574,IA624,IA679IB709,IA738,IA767,IB827,NB711,NB816,Y,J,H,Ks,NB118g,r,i,z,hsc_y,redshift
11,24.365667634352192,24.633761342976584,22.92256804287118,25.19005640143919,25.044417527376737,26.42434455779747,25.060693718087094,24.987832662567897,24.933938858925963,25.170377970259068,24.6446495992158,24.165538824680247,24.289209592485616,24.265522699833454,24.110242566237698,23.97151989786989,24.065609912236724,24.012752025633848,23.825324133209,23.719494364988364,23.72093428422052,23.642779118844235,23.45764714139784,24.967641323823095,24.509829112482205,23.990103981421147,23.89099562779217,23.821889424044954,0.1
31,25.70582689607069,25.547708117253226,24.42263480618435,23.2208143240861,26.11355715360282,26.459668892272646,25.738521257590172,25.79411583156462,25.871296464620393,26.348288284102324,25.572290001247755,25.680740019805267,26.06571486359254,25.924316067064602,26.310768030889093,26.3341278278374,25.298125774416278,26.711683063566742,25.208182532231096,24.75626871446441,24.95086779756876,25.247217211256007,24.86166035663333,25.932653712119745,25.71496322140419,25.536741237608293,25.556786979568226,25.168275251044165,1.0
72,22.57134030344284,22.505667598080734,21.590796713893287,23.039509130176725,23.875232878622253,23.792390706507774,23.63200962737353,23.592398474322195,23.327453376572628,23.048385730703902,22.718310875915684,22.439131918174382,22.54267571133122,22.527484551627293,22.545381873147736,22.52568693298531,22.48489029085431,22.574175821238754,22.164599996928693,22.07278531200524,22.026194851789285,21.846184667002756,22.172772399096296,23.600201706322988,22.697581082418456,22.48269003598378,22.299234667902414,22.055720360127566,0.1
84,23.088027919117607,23.37202113180496,22.872167209545605,23.478212740989182,24.517506300616052,24.56366395874564,24.40577743858389,24.403292251526434,24.314509362010092,24.34549991803543,24.137065201924372,24.183116255613932,24.188688071616802,24.159188104293126,23.60734838795531,23.616633332326032,23.95729494838666,23.682574348762607,23.082941581627136,23.268321574936984,23.275169351836205,23.013246603286387,23.443220760183063,24.317343113163506,24.159556129643903,23.76854613020753,23.457403617261534,23.309568397489706,1.0
112,24.88454004160534,24.804204388896547,22.679954398346705,22.98547578131216,26.30096331024629,25.711450250148964,25.90009529601599,26.531224426073166,25.926199795989874,25.554514056610873,25.441720038544002,25.492529865301293,25.717668873712075,25.652787616668075,25.385793329979307,26.035468949039117,26.558545557980064,26.04209014095584,24.716018368900322,24.828491764416682,24.69724082863706,24.64009618413707,25.183623193131133,25.91398313351545,25.656208184474167,25.51024947769316,24.907046063552816,24.63500647830773,1.0
133,20.43763827859933,20.48452621627504,20.764177656666376,21.020238082037892,27.954925734695358,26.977687139756405,27.14352256278945,26.006728525364085,26.68621540950965,26.550650469300464,25.654686434026356,24.972273428440506,24.719746779292308,24.449568569111836,24.077133487757997,23.966376787111827,24.457657148211602,23.979360491427915,22.325645577780143,21.84311835482604,21.357201561647457,20.881811281622586,21.977612913876946,27.060992540549734,25.454564942304664,24.1068101187983,23.072978065311894,22.477699704322426,1.0
139,21.82128975188938,22.126139424667517,21.855050667731874,23.1540597842838,23.15722464083057,23.1010273990728,23.047646609808858,22.901373690709335,22.808547032794635,22.860507225260875,22.336979318202495,21.970662757334857,22.054760727937175,22.005270924112217,21.962430210481706,21.808976586610008,21.994746825088512,21.946429018541696,21.708549268556578,21.612066159997283,21.54417871237132,21.426473968152848,21.624313574572287,22.988869877813208,22.374164644886374,21.87142237367612,21.818190079587122,21.714232441809983,0.1
180,24.453501794004403,24.317162667925132,23.179045763244822,22.275528468305065,26.495915140289988,26.64802100286699,26.233552286026825,25.511753052310702,25.705761261944737,25.58316425686349,25.127178173522566,24.575580589443536,24.897390040515937,25.089295878297378,24.70953457035787,24.49503400448492,24.932260500557227,24.827176916671604,24.406409955597184,24.55270060060697,24.207462619392707,24.1112390597066,24.829619256539466,26.04488373864541,24.912679087527387,24.669983113038583,24.51093178169971,24.400313862903385,0.1
224,24.040265393319878,24.02523101245065,23.771726643971192,23.082981296528715,25.565383519962445,25.58114114138077,25.523478750546303,25.195138910532464,25.30291000768338,25.213302899470513,24.97985890530355,25.143298653255044,25.15519402986784,25.880636261913665,25.432631250881492,25.060425929998733,24.7683031087925,25.383554034154468,24.760509276206875,24.46775678427967,24.049336774791747,23.822050849830188,24.589885872214225,25.3523974589098,25.085451544870097,25.11985616360363,24.970113340246904,24.903821924671842,2.0
320,22.120708716363538,22.231229182293987,23.36795528606695,23.050211017265553,25.110239894491766,25.307797482785787,25.12696743145575,24.970398098143853,24.95471856233183,24.695607297346633,24.50724875490351,24.138632098786864,24.342523241876318,24.26640503304559,24.062380018636695,23.697252675461193,24.358221864266547,23.47917111077275,23.161785818958325,22.960621215883364,22.695015225411638,22.383195597750312,23.08094816190269,24.928408326025206,24.373122574055845,23.976183770090863,23.389118392097767,23.186667720393885,1.0
325,21.105050719651683,20.883359858979247,20.689061149351723,20.93600966206675,25.090004055615765,25.07603679058035,24.880078350338838,24.73454307731963,24.670114671318775,24.343815753003533,24.348443996585935,24.036548551977717,24.225750229312787,24.323015646945283,24.105395146987092,24.039892708378552,24.179671327018823,23.990060935276706,23.590169466084763,23.061158944119597,22.049833789562836,21.647293477913795,23.338560438188455,24.939971966799394,24.37622605649399,24.24023810435132,23.931847008294444,23.682621510778922,2.0
333,25.480958539175155,26.742071623162623,22.24945664652432,23.664405300258153,26.30023506145069,26.921632494956583,26.023133735347017,26.393789788773667,26.136405061636385,26.073102742207276,26.278771696149146,26.46930758016747,26.058825463645388,25.916305308683697,26.076055426819302,25.690228818367256,26.273102936490673,26.222217606911464,25.841642158093393,25.477578301589457,25.17538213308817,25.254636344927295,26.831147084277088,26.07911043461109,25.968679351144498,26.110160114905618,26.040099266050326,25.953171146909902,1.0
349,23.89268796388778,24.255437375235434,24.647882576648772,22.58847298987842,26.057561689888317,26.692812685760543,25.964776058990843,26.088355663042652,26.251514870871723,26.293805569168214,25.888850209965952,25.75522650222173,25.90123134147003,25.667537931182192,26.74494546208302,25.889104509753007,26.022147592209166,25.460927994033526,25.12909740102366,24.588690910432412,24.47534458446772,24.227117489508053,24.550256855376873,25.855855433292902,25.674499581158614,25.666307034413755,25.39796633240834,25.29592257181499,1.5
365,25.792330482303655,26.194220784576753,23.894745618230207,22.744401427772996,26.48205791510176,25.831369651914812,26.353925116185334,26.234605755089994,26.164116725833853,26.274527998006327,26.192575078075244,26.79744687871943,26.162724911544537,26.447628995151973,27.194488862788027,26.510626289644932,25.698785673179458,26.014635087381656,25.52690178762186,25.268518071401353,25.243453078263542,25.49467113230121,24.831507843979537,26.007374078912243,26.008432469682422,26.048272119481364,25.604772704922357,25.420846544527183,1.0
392,22.738341731053982,22.648696287462847,22.99054977714744,23.324803217116557,25.97463370743675,26.31967864536117,26.26999618176535,25.332667410364362,24.833691376560857,25.17204683260081,24.594012386776356,24.186652524052423,24.37560742589001,24.266897326538427,24.26131751055314,24.32045626976138,24.244155568577106,24.07020014362532,23.891394131337236,23.62391340168971,23.056628765846355,22.78851945090601,23.953731823859258,25.290187426915463,24.392250035536968,24.171664816689812,24.08925989443613,23.964104085561193,3.0
399,20.508735357076116,20.79849212282005,20.99428385486204,21.360762917241757,24.281061225190964,23.93500618142893,23.52219445788465,23.39651072739577,23.295838245907365,22.705225622072767,22.075916314171295,21.453497448445074,21.666334261389977,21.552675561062262,21.418082669651227,21.219474111293508,21.61115392194592,21.27683723135486,20.715640167436696,20.433782651195834,20.134306495090705,19.92709178017456,20.51076108720457,23.57448727081855,22.0380730619099,21.356707261463576,21.009859842402648,20.75681927467689,0.1
408,29.283125910235174,26.097635241001687,23.7703419264887,24.71165694112838,26.621962368360453,26.324768382322247,26.292141608646162,26.338547606963626,26.693872002262538,29.795637481046924,26.633518271651834,26.31484162031323,26.624972513125194,26.12213804442356,25.695502731315155,25.9937301918905,26.899328227548555,26.99073020879565,25.884376500140498,25.364069923031742,25.404384017739897,27.57926813469694,26.100405630060976,26.22173587289828,26.20431405098637,26.28214158405352,26.123274125544647,26.256410946391203,1.0
410,24.666743947540866,24.900679433120487,23.342857076754605,22.546916926292134,25.798688609534068,26.349877329574387,25.80300151764096,26.188978749362867,25.894095618523888,26.330261835356215,25.9083757858662,26.001637282451185,25.906544497935624,26.016530465947245,25.970840024220365,26.28279569115273,26.002051730640638,26.073646089523848,25.48580537755396,25.13563093151366,25.151195633055586,25.21973223706351,24.656807560702006,25.954498805123777,25.832210266160537,25.97773849138607,25.58342696360173,25.379566453390083,1.0
