ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.165565,0.5306416,0.8336678,0.9234161,9.415665,4.458642,0.6064367,0.0
2.710848,1.498102,1.987532,2.256514,4.100253,1.721061,0.8149838,1.0
1.469374,0.6222782,0.9205132,1.126534,6.818978,3.495629,0.6435844,0.0
4.239576,1.534662,2.348742,2.807949,8.74331,4.25143,0.3062626,1.0
1.058027,0.5787506,0.9208698,1.075832,3.449106,1.730405,0.7498698,0.0
1.452703,1.100357,1.554304,1.850174,7.0844,3.180938,0.6963791,0.6576783
1.399487,1.352781,1.864262,2.202284,4.281131,1.954281,0.3574825,0.4805579
1.479931,0.7073708,1.04476,1.293799,7.205777,3.178814,0.8302455,0.5986409
2.27939,1.707539,2.391087,2.684086,5.773227,2.116373,0.5376564,1.0
1.767324,0.9767342,1.398205,1.716379,3.211429,1.519931,0.5204356,0.8928865
1.124184,0.3949318,0.5355721,0.5836201,1.998423,1.051244,0.1870315,0.0
1.571323,0.7047215,1.047701,1.280167,5.210418,2.455344,0.6998858,0.319646
1.418068,1.713747,2.23764,2.605606,4.486873,1.667802,0.7613364,1.0
0.985939,0.4215622,0.7153587,0.8406906,5.500071,2.547857,0.7056763,0.09870254
1.810194,0.7989302,1.18639,1.443266,6.414639,2.424623,0.5657008,1.0
1.280087,0.5894022,0.8968792,1.090017,10.06047,4.649953,0.4542069,0.0
1.129633,0.3160534,0.6951752,0.7869129,8.463508,3.272026,0.685312,1.0
2.127264,1.089428,1.558945,1.833046,1.902621,0.984459,0.1514146,0.0
2.463358,1.310637,2.030024,2.431553,2.245837,1.042388,0.1486472,0.8314589
1.287195,0.6004639,0.9135618,1.132093,13.76981,5.353639,0.366102,1.0
2.123997,1.005751,1.426449,1.766638,2.677174,1.286502,0.3122836,0.9677595
1.400984,1.116873,1.620604,1.922047,6.401053,3.039027,0.6634048,0.1636394
2.837725,1.312441,1.838461,2.154387,4.194925,1.899153,0.9777488,0.8832164
1.882114,0.7458267,1.040905,1.231586,2.26842,1.079797,0.9945296,0.9902878
