,id,ra,dec,flux_g,flux_i,flux_r,flux_u,flux_y,flux_z,host_galaxy,is_pointsource,is_variable,mag_r,redshift,truth_type
0,40749426052,54.4731261,-46.0913578,589.69,7390.77,1654.23,56.4542,17941.5,13607.6,-1,1,1,23.3535,0.0,2
1,40969792214,54.4613419,-46.0928689,46.0105,328.233,138.133,5.26928,586.331,484.929,-1,1,1,26.0493,0.0,2
2,40749426351,54.4773838,-46.1033319,209.173,2232.35,603.797,20.6008,4952.03,3857.39,-1,1,1,24.4478,0.0,2
3,40969793594,54.4668578,-46.1000509,17.8366,190.341,51.4846,1.7568,422.217,328.892,-1,1,1,27.1208,0.0,2
4,40969791100,54.3200713,-46.0608426,2729.48,4716.73,4090.18,1051.78,5011.58,4917.18,-1,1,1,22.3706,0.0,2
5,40969810898,54.0562525,-46.0984584,9.54055,76.4186,28.4438,1.04629,145.195,118.177,-1,1,1,27.765,0.0,2
6,40969782484,54.5843033,-46.0707359,26.2271,148.044,80.3623,3.09468,227.346,196.083,-1,1,1,26.6374,0.0,2
7,40749426241,54.4299529,-46.0903687,329.819,3518.77,951.876,32.4915,7804.52,6079.7,-1,1,1,23.9536,0.0,2
8,40969793357,54.449046,-46.0955449,121.796,1112.83,361.542,12.9224,2271.44,1812.45,-1,1,1,25.0046,0.0,2
9,40969795591,54.4197229,-46.1005598,24.2783,120.505,72.7658,2.92663,174.257,153.148,-1,1,1,26.7452,0.0,2
10,40062174942,54.3955686,-46.1024175,271.58,2178.23,810.3,29.7519,4141.21,3369.82,-1,1,1,24.1284,0.0,2
11,40901221527,54.1127029,-46.0636905,24898.9,226980.0,73813.8,2646.54,462806.0,369433.0,-1,1,1,19.2297,0.0,2
12,41021132257,54.1075177,-46.0622603,13.4158,142.816,38.6701,1.32396,316.441,246.601,-1,1,1,27.4316,0.0,2
13,40969802726,54.109001,-46.0721934,33.67,201.944,102.855,3.8241,323.276,275.123,-1,1,1,26.3694,0.0,2
14,40969787149,54.5755267,-46.0903863,147.712,886.828,451.492,16.7629,1420.34,1208.56,-1,1,1,24.7634,0.0,2
15,41021144200,54.0607441,-46.1091758,120.883,682.602,370.477,14.2593,1048.44,904.206,-1,1,1,24.9781,0.0,2
16,41021126129,54.419214,-46.0938394,9410.29,14418.4,12910.5,3853.47,14961.0,14826.7,-1,1,1,21.1226,0.0,2
17,40969784981,54.5826163,-46.0822947,9.22705,73.9039,27.5084,1.01195,140.413,114.286,-1,1,1,27.8013,0.0,2
